guess,exp_remaining,entropy,worst_case,partitions
amids,682.2420598211532,5.098889365914966,1539,155
picas,682.2761332099908,5.173506591126379,1695,150
soole,682.4125809435708,5.118365518220031,1549,143
syrah,682.5536540240518,5.093784590169337,1537,153
symar,682.5757015109466,5.0756976402968945,1544,146
supra,682.7559358618563,5.169995434582147,1670,161
tizes,682.9357076780758,5.0615762736134835,1685,138
dikas,683.1170212765958,5.124413547580049,1657,157
coins,683.1389145852605,5.271409696832828,1937,166
reens,683.145390070922,5.187239994078141,1688,156
argus,683.168362627197,5.12328704553944,1648,169
marks,683.2050570459451,5.210655582219481,1905,158
paled,683.431853222325,5.228984906110487,1878,167
hyles,683.4947579401788,5.105842029127685,1588,160
oiled,683.5881899475794,5.1842378223894,1705,165
lweis,683.6944187480727,5.096199552373617,1523,153
neums,683.6959605303731,5.120980712998453,1595,145
shorl,683.7107616404563,5.090517693192314,1583,148
yeard,683.7580943570767,5.172581805562184,1733,167
prays,683.8869873573851,5.148060096696089,1595,158
ranas,683.913814369411,5.182137504983123,1841,152
wards,683.9255319148937,5.1532413898199,1749,163
naras,684.0403946962689,5.176601012192551,1841,151
taupe,684.0662966389145,5.167792703006058,1704,153
wekas,684.0758556891767,5.024803980793157,1404,150
glens,684.1236509404872,5.1407007752409255,1510,158
fiats,684.3684859697811,5.198068858124962,1715,165
mends,684.4071847055196,5.166441745736463,1711,161
satis,684.4295405488745,5.181417568983878,1891,148
vesta,684.4794942954055,4.986296855912662,1331,147
tried,684.8461301264261,5.319855480813948,2182,176
turns,684.9421831637372,5.284004950359584,1879,172
adzes,684.9933703361086,4.873164853428967,1339,124
bason,685.1535615171138,5.071268334729204,1509,151
ready,685.2841504779525,5.19317566658409,1733,172
micas,685.2977181621955,5.165595635926861,1701,157
shope,685.3058896083872,5.135148350317874,1506,163
hauns,685.3472093740364,5.179293624385924,1827,162
ratas,685.4173604687019,5.21122727790649,1916,157
royne,685.4639222941721,5.154060808733104,1826,151
sitka,685.5120259019426,5.164042006589938,1675,158
styed,685.6157878507555,5.02035956620418,1592,135
tolan,685.6618871415357,5.214430696426671,1821,158
apses,685.7403638606229,5.0072661605233915,1423,142
creps,685.7596361393771,5.176241206291101,1594,162
sizel,685.7642614862781,4.987830989168583,1592,133
scary,685.913814369411,5.08886129249775,1532,157
laced,685.9617637989516,5.162814288873193,1849,164
skyer,685.9662349676225,4.968838805116096,1551,137
atoke,686.2392846130126,4.99470735768837,1603,137
cions,686.5060129509714,5.2532356072039095,1937,162
diebs,686.5396238051187,5.128845024293335,1628,147
spray,686.6245760098674,5.155156451616658,1595,172
matey,686.8610854147395,5.123917270208784,1661,157
lirot,687.0403946962689,5.184217283441775,2017,154
makos,687.0840271353685,5.08680765789671,1725,151
perks,687.254856614246,5.202213117260002,1822,156
levis,687.4145852605612,5.079862654456918,1624,167
arris,687.4270736971939,5.068741255225414,1586,134
lirks,687.4471168670983,5.153941793340399,1812,157
loipe,687.4474252235584,5.1865046727043635,1682,154
herbs,687.5263644773358,5.12238834695177,1698,148
softa,687.5291396854764,5.073030551654891,1507,151
yours,687.5753931544866,5.125766117893006,1743,147
trews,687.9509713228492,5.137656852982598,1695,154
spice,687.9981498612395,5.10706195044924,1548,153
welts,688.2158495220475,5.177540868859411,1746,160
erose,688.3575393154487,5.037739407661915,1615,128
lacey,688.359081097749,5.1222661975231105,1684,162
trims,688.4004008633981,5.227791093543967,1908,155
liefs,688.6128584643849,5.134450075771182,1541,158
carks,688.6561825470244,5.2270033832240355,1867,159
tosas,688.6765340733889,5.121090023008493,1691,144
urial,688.7900092506939,5.044973864036557,1701,146
balds,688.8200740055504,5.162845974990918,1817,159
sherd,688.8390379278446,5.107211835355901,1654,152
bared,688.8418131359851,5.272129935998134,1989,180
crits,688.9952204748689,5.284742470600568,1890,167
speak,688.9979956830095,5.052795857490846,1572,146
gayer,689.0217391304348,5.065991904875947,1735,148
prams,689.0245143385754,5.196379979874088,1815,162
glans,689.1939562133826,5.177970832294557,1793,168
shule,689.204286154795,5.15090425876376,1576,160
tonal,689.2193956213383,5.206252901975173,1821,157
erhus,689.2489978415048,5.004767322790542,1484,137
